iter	Logloss
0	0.6873308675
1	0.6818717356
2	0.6758690738
3	0.6698525247
4	0.6642798092
5	0.6583904309
6	0.6523692528
7	0.6471271301
8	0.6435757326
9	0.6381787932
10	0.6324047131
11	0.6281060208
12	0.6234387601
13	0.6187545691
14	0.6148127009
15	0.6097883589
16	0.6052799011
17	0.6010761475
18	0.5968329183
19	0.5943189042
20	0.5905631419
21	0.5861312352
22	0.5820810554
23	0.5783020191
24	0.574791126
25	0.5712860622
26	0.5683041262
27	0.565199777
28	0.5614666028
29	0.5572972673
30	0.5536751051
31	0.5505847717
32	0.5473028462
33	0.5442417873
34	0.5414599301
35	0.5383088187
36	0.5355374626
37	0.5325985598
38	0.5295098551
39	0.5261297333
40	0.5239425831
41	0.521622047
42	0.5191446369
43	0.5160663048
44	0.514211076
45	0.5114276329
46	0.5088244235
47	0.505788996
48	0.5036867549
49	0.5010324542
50	0.4982102212
51	0.495553606
52	0.4929631265
53	0.4905167912
54	0.4885380348
55	0.4863269249
56	0.4837977377
57	0.4816316755
58	0.4801309993
59	0.4782581972
60	0.4760473444
61	0.4747587054
62	0.4729190355
63	0.4708591418
64	0.4689206756
65	0.4674443449
66	0.4660430222
67	0.4644684524
68	0.4627091483
69	0.4612239452
70	0.4595379347
71	0.4577814166
72	0.4563134868
73	0.4544888614
74	0.4529236354
75	0.4515602026
76	0.4496783139
77	0.4481842384
78	0.4466355142
79	0.4447561971
80	0.4438697729
81	0.4423210916
82	0.441190741
83	0.4396920365
84	0.4387726516
85	0.4373380254
86	0.4357876724
87	0.4344372696
88	0.4332397118
89	0.4322415898
90	0.4308432247
91	0.4293953113
92	0.427972515
93	0.4267941164
94	0.4255990875
95	0.4245902072
96	0.4237061404
97	0.4227007748
98	0.4218550693
99	0.4208969373
100	0.4199543642
101	0.4193188957
102	0.4184433583
103	0.4173359389
104	0.4162433496
105	0.4153267507
106	0.4143706332
107	0.4135305426
108	0.4127585593
109	0.4117472788
110	0.4106270436
111	0.4095475272
112	0.4087652142
113	0.4079312957
114	0.4071425106
115	0.4061211147
116	0.4053689764
117	0.4045172273
118	0.4038333679
119	0.4030047642
120	0.4023460645
121	0.4013036235
122	0.4006999584
123	0.4000292146
124	0.3992763905
125	0.3985447401
126	0.3981919449
127	0.3974098034
128	0.396870731
129	0.3961301654
130	0.3954391051
131	0.3949158486
132	0.3943435155
133	0.3937197053
134	0.3933215195
135	0.3927120252
136	0.3919944335
137	0.3916256508
138	0.3911543428
139	0.3905379049
140	0.3899351827
141	0.3890934205
142	0.3884810973
